Participant,replicate,front-back,left-right,top-bottom,role,grid,black_animal_C,blue_animal_C,red_animal_C
C,01,B,R,B,receiver,B6,0,0,0
C,01,B,R,B,receiver,C6,1,0,0
C,01,B,R,B,receiver,D6,0,0,0
C,01,B,R,B,receiver,E6,0,1,0
C,01,B,R,B,receiver,F6,0,0,0
C,01,B,R,B,receiver,A7,0,0,0
C,01,B,R,B,receiver,B7,1,0,0
C,01,B,R,B,receiver,C7,0,0,0
C,01,B,R,B,receiver,D7,0,0,0
C,01,B,R,B,receiver,E7,1,0,0
C,01,B,R,B,receiver,F7,1,1,0
C,01,B,R,B,receiver,A8,0,0,0
C,01,B,R,B,receiver,B8,0,0,0
C,01,B,R,B,receiver,C8,1,1,0
C,01,B,R,B,receiver,D8,0,0,0
C,01,B,R,B,receiver,E8,0,0,0
C,01,B,R,B,receiver,F8,1,0,0
C,01,B,R,B,receiver,A9,0,0,0
C,01,B,R,B,receiver,B9,0,0,0
C,01,B,R,B,receiver,C9,0,1,0
C,01,B,R,B,receiver,D9,0,0,1
C,01,B,R,B,receiver,E9,0,0,0
C,01,B,R,B,receiver,F9,0,0,2
C,01,B,R,B,receiver,A10,0,0,0
C,01,B,R,B,receiver,B10,0,0,0
C,01,B,R,B,receiver,C10,0,0,0
C,01,B,R,B,receiver,D10,0,0,0
C,01,B,R,B,receiver,E10,0,0,0
C,01,B,R,B,receiver,F10,0,0,0
C,01,B,R,B,receiver,A11,0,0,0
C,01,B,R,B,receiver,B11,0,0,0
C,01,B,R,B,receiver,C11,0,0,0
C,01,B,R,B,receiver,D11,0,0,0
C,01,B,R,B,receiver,E11,0,0,0
C,01,B,R,B,receiver,F11,0,0,0
C,01,B,R,B,receiver,A12,0,0,1
C,01,B,R,B,receiver,B12,0,0,0
C,01,B,R,B,receiver,C12,0,0,0
C,01,B,R,B,receiver,D12,0,0,1
C,01,B,R,B,receiver,E12,0,0,0
C,01,B,R,B,receiver,F12,0,0,0
C,01,B,R,B,receiver,A13,0,0,0
C,01,B,R,B,receiver,B13,0,0,0
C,01,B,R,B,receiver,C13,0,0,0
C,01,B,R,B,receiver,D13,0,0,0
C,01,B,R,B,receiver,E13,0,0,0
C,01,B,R,B,receiver,F13,0,0,0
C,01,B,R,B,receiver,A14,0,0,0
C,01,B,R,B,receiver,B14,0,0,0
C,01,B,R,B,receiver,C14,0,0,0
C,01,B,R,B,receiver,D14,0,0,0
C,01,B,R,B,receiver,E14,0,0,0
C,01,B,R,B,receiver,F14,0,0,0
C,01,B,R,B,receiver,A15,0,0,0
C,01,B,R,B,receiver,B15,0,0,0
C,01,B,R,B,receiver,C15,0,0,0
C,01,B,R,B,receiver,D15,0,0,0
C,01,B,R,B,receiver,E15,0,0,0
C,01,B,R,B,receiver,F15,1,0,0
C,01,B,R,B,receiver,A16,0,0,0
C,01,B,R,B,receiver,B16,0,0,0
C,01,B,R,B,receiver,C16,0,0,0
C,01,B,R,B,receiver,D16,0,0,0
C,01,B,R,B,receiver,E16,1,0,1
C,01,B,R,B,receiver,F16,0,0,0
C,01,B,R,B,receiver,A17,0,0,0
C,01,B,R,B,receiver,B17,0,0,0
C,01,B,R,B,receiver,C17,0,0,0
C,01,B,R,B,receiver,D17,0,0,0
C,01,B,R,B,receiver,E17,0,0,0
C,01,B,R,B,receiver,F17,0,0,1
C,01,B,R,B,receiver,A18,0,0,0
C,01,B,R,B,receiver,B18,0,0,0
C,01,B,R,B,receiver,C18,0,0,0
C,01,B,R,B,receiver,D18,0,0,0
C,01,B,R,B,receiver,E18,0,0,0
C,01,B,R,B,receiver,F18,0,0,0
C,01,B,R,B,receiver,A19,0,0,0
C,01,B,R,B,receiver,B19,0,0,0
C,01,B,R,B,receiver,C19,0,0,0
C,01,B,R,B,receiver,D19,0,0,0
C,01,B,R,B,receiver,E19,0,0,0
C,01,B,R,B,receiver,F19,0,0,0
C,01,B,R,B,receiver,A20,0,0,0
C,01,B,R,B,receiver,B20,0,0,0
C,01,B,R,B,receiver,C20,0,0,0
C,01,B,R,B,receiver,D20,0,0,0
C,01,B,R,B,receiver,E20,0,0,0
C,01,B,R,B,receiver,F20,0,0,0
C,01,B,R,B,receiver,A21,0,0,0
C,01,B,R,B,receiver,B21,0,0,0
C,01,B,R,B,receiver,C21,0,0,0
C,01,B,R,B,receiver,D21,0,0,0
C,01,B,R,B,receiver,E21,0,0,0
C,01,B,R,B,receiver,F21,0,0,0
C,01,B,R,B,receiver,A22,0,0,0
C,01,B,R,B,receiver,B22,0,0,0
C,01,B,R,B,receiver,C22,0,0,0
C,01,B,R,B,receiver,D22,0,0,0
C,01,B,R,B,receiver,E22,0,0,0
C,01,B,R,B,receiver,F22,0,0,0
C,01,B,R,B,receiver,A23,0,0,0
C,01,B,R,B,receiver,B23,0,0,1
C,01,B,R,B,receiver,C23,0,0,0
C,01,B,R,B,receiver,D23,0,0,0
C,01,B,R,B,receiver,E23,0,0,0
C,01,B,R,B,receiver,F23,0,0,0
C,01,B,R,B,receiver,A24,0,0,0
C,01,B,R,B,receiver,B24,0,0,0
C,01,B,R,B,receiver,C24,0,0,0
C,01,B,R,B,receiver,D24,0,0,0
C,01,B,R,B,receiver,E24,0,0,0
C,01,B,R,B,receiver,F24,0,0,0
C,02,B,L,T,receiver,A1,0,0,0
C,02,B,L,T,receiver,B1,0,0,0
C,02,B,L,T,receiver,C1,0,1,1
C,02,B,L,T,receiver,D1,0,0,0
C,02,B,L,T,receiver,E1,0,0,0
